Fold,Train_R2,CV_R2,Gap
1,0.8258078111706934,0.7643605338790117,0.061447277291681646
2,0.8259432688263656,0.7600532198788135,0.06589004894755213
3,0.8260234916753066,0.7619248304997289,0.06409866117557772
4,0.8276925664006773,0.762737100019615,0.06495546638106231
5,0.8278830884333803,0.7537171265956087,0.07416596183777158
